#ID, X, Y, Yerr, Xerr
272,-190.582874072,-20.948765,0.051497,3.41933874196
273,163.450410575,-20.943468,0.01,4.93198125104
274,109.795036299,-19.103959,0.061503,0.743913161575
275,-191.699912433,-20.661868,0.015359,2.80990737704
277,217.903589905,-22.04544,0.02,7.51341063378
306,149.04812649,-19.076349,0.04,1.33132090808
309,269.432358423,-20.887679,0.04,2.90193097637
311,199.563029056,-22.792294,0.034755,2.0373747099
312,239.095876851,-19.20166,0.203872,1.78503303668
318,211.584062505,-23.805135,0.061957,5.7624328575
319,229.05600587,-21.483551,0.083786,3.02072839754
326,148.578638163,-20.683554,0.068753,6.235404536
339,318.553198613,-21.320199,0.51752,0.203762920165
340,136.272301849,-22.304167,0.01,4.33657672162
341,269.872233285,-22.35041,0.024585,7.66260681098
360,381.859606533,-22.720145,0.166129,0.979147921082
361,81.736797182,-18.283652,0.313994,0.732883380334
364,282.843919908,-21.884431,0.02,7.30449077951
381,271.029903725,-22.021813,0.11,5.43159099197
386,207.63673169,-21.77003,0.03,4.20449701802
387,-207.071558138,-22.968474,0.099617,4.48732359005
414,216.821509039,-20.922457,0.44447,0.336101205688
436,164.509655866,-21.372329,0.01,1.94963231037
475,238.833866733,-20.134479,0.586996,11.4910699445
479,204.636647323,-21.938688,0.02,6.10421866181
486,150.792054983,-19.908112,0.541042,3.67082678785
489,259.748837657,-21.85408,0.01,4.78805611263
500,177.145446993,-21.107126,0.094643,4.30715542936
502,218.009139562,-20.570191,0.095816,0.707487541594
515,218.688800495,-21.885885,0.082636,2.60973883146
518,-196.206914334,-20.945301,0.044085,1.7000439138
548,141.796855649,-20.686141,0.049486,3.43522342603
569,170.561681247,-21.029062,0.069699,0.242504972433
577,294.550398258,-22.165472,0.496798,5.65871639312
580,184.534370236,-21.012629,0.099418,5.42872079385
588,279.122808582,-23.026871,0.117706,0.822716781364
592,164.531606235,-24.358661,0.31,0.996666866124
593,-224.302968784,-22.507279,0.092218,6.07973509593
603,125.738854551,-20.292669,0.462055,2.52802253511
606,-146.445308289,-19.259323,0.09,2.71701459772
607,253.357555288,-22.77337,0.096798,8.34281151787
608,198.209606534,-21.781932,0.211286,0.585008897053
611,165.874849391,-21.058278,0.404119,0.227180129128
630,160.676220491,-20.078248,0.353662,2.86366185617
633,155.363778472,-21.072135,0.173109,0.530707477668
634,-202.0731511,-21.396479,0.048355,5.76067787768
657,128.81967689,-19.735996,0.18235,1.03030569825
663,245.523829887,-22.306915,0.08089,10.5440220215
664,192.295839566,-20.243933,0.14666,4.31285274959
665,234.069791015,-22.288402,0.135286,1.29128470208
676,-210.346883768,-21.279022,0.093604,2.86271819755
